@attribute G numeric
@attribute H numeric
@attribute HR numeric
@attribute AB numeric
@attribute BA numeric
@attribute Tier_1_Awards numeric
@attribute Tier_2_Awards numeric
@attribute Tier_3_Awards numeric
@attribute hof nominal { 0.0, 1.0 }

@data
1165.0, 1022.0, 57.0, 4019.0, 0.254292112465788, 0.0, 0.0, 0.0, 0.0
378.0, 379.0, 10.0, 1531.0, 0.247550620509471, 0.0, 0.0, 0.0, 0.0
367.0, 333.0, 3.0, 1278.0, 0.26056338028169, 0.0, 0.0, 0.0, 0.0
855.0, 772.0, 11.0, 3044.0, 0.253613666228647, 0.0, 0.0, 0.0, 0.0
165.0, 107.0, 4.0, 457.0, 0.234135667396061, 0.0, 0.0, 0.0, 0.0
303.0, 215.0, 20.0, 876.0, 0.245433789954338, 0.0, 0.0, 0.0, 0.0
862.0, 694.0, 6.0, 2647.0, 0.262183604080091, 0.0, 0.0, 0.0, 0.0
2113.0, 2010.0, 287.0, 7213.0, 0.27866352419243, 0.0, 3.0, 3.0, 0.0
566.0, 337.0, 58.0, 1456.0, 0.231456043956044, 0.0, 0.0, 0.0, 0.0
355.0, 194.0, 10.0, 759.0, 0.255599472990777, 0.0, 0.0, 0.0, 0.0
774.0, 830.0, 12.0, 3233.0, 0.256727497680173, 0.0, 0.0, 0.0, 0.0
866.0, 962.0, 16.0, 3306.0, 0.290986085904416, 0.0, 0.0, 0.0, 0.0
1092.0, 786.0, 61.0, 3285.0, 0.239269406392694, 0.0, 0.0, 0.0, 0.0
1352.0, 1202.0, 211.0, 4426.0, 0.271577044735653, 0.0, 0.0, 1.0, 0.0
767.0, 750.0, 32.0, 2780.0, 0.26978417266187, 0.0, 0.0, 0.0, 0.0
437.0, 353.0, 8.0, 1372.0, 0.257288629737609, 0.0, 0.0, 0.0, 0.0
856.0, 666.0, 40.0, 2778.0, 0.239740820734341, 0.0, 0.0, 0.0, 0.0
319.0, 199.0, 7.0, 795.0, 0.250314465408805, 0.0, 0.0, 0.0, 0.0
1074.0, 1201.0, 29.0, 4127.0, 0.291010419190695, 0.0, 0.0, 0.0, 0.0
166.0, 54.0, 5.0, 257.0, 0.21011673151751, 0.0, 0.0, 0.0, 0.0
714.0, 404.0, 13.0, 1482.0, 0.272604588394062, 0.0, 0.0, 0.0, 0.0
1658.0, 2133.0, 57.0, 7062.0, 0.302039082412914, 1.0, 0.0, 0.0, 0.0
288.0, 233.0, 1.0, 1011.0, 0.230464886251236, 0.0, 0.0, 0.0, 0.0
546.0, 437.0, 9.0, 1566.0, 0.279054916985951, 0.0, 0.0, 0.0, 0.0
498.0, 317.0, 0.0, 1426.0, 0.222300140252454, 0.0, 0.0, 0.0, 0.0
894.0, 764.0, 102.0, 2894.0, 0.263994471319972, 0.0, 0.0, 0.0, 0.0
285.0, 145.0, 39.0, 727.0, 0.199449793672627, 0.0, 0.0, 0.0, 0.0
180.0, 94.0, 2.0, 345.0, 0.272463768115942, 0.0, 0.0, 0.0, 0.0
225.0, 73.0, 2.0, 359.0, 0.203342618384401, 0.0, 0.0, 0.0, 0.0
266.0, 203.0, 9.0, 819.0, 0.247863247863248, 0.0, 0.0, 0.0, 0.0
1472.0, 1273.0, 310.0, 5013.0, 0.253939756632755, 0.0, 0.0, 1.0, 0.0
1589.0, 1526.0, 32.0, 5805.0, 0.262876830318691, 0.0, 0.0, 0.0, 0.0
557.0, 497.0, 61.0, 1842.0, 0.269815418023887, 0.0, 0.0, 0.0, 0.0
672.0, 514.0, 2.0, 2397.0, 0.214434710054234, 0.0, 0.0, 0.0, 0.0
479.0, 413.0, 22.0, 1564.0, 0.264066496163683, 0.0, 0.0, 0.0, 0.0
1405.0, 1304.0, 202.0, 4809.0, 0.271158244957372, 0.0, 0.0, 0.0, 0.0
280.0, 208.0, 3.0, 874.0, 0.237986270022883, 0.0, 0.0, 0.0, 0.0
363.0, 417.0, 2.0, 1445.0, 0.288581314878893, 0.0, 0.0, 0.0, 0.0
261.0, 129.0, 18.0, 602.0, 0.214285714285714, 0.0, 0.0, 0.0, 0.0
1270.0, 1455.0, 17.0, 4745.0, 0.306638566912539, 0.0, 0.0, 2.0, 0.0
457.0, 324.0, 8.0, 1371.0, 0.236323851203501, 0.0, 0.0, 0.0, 0.0
1190.0, 821.0, 14.0, 3202.0, 0.256402248594628, 0.0, 0.0, 0.0, 0.0
423.0, 336.0, 5.0, 1265.0, 0.265612648221344, 0.0, 0.0, 0.0, 0.0
1112.0, 1090.0, 95.0, 3871.0, 0.28158098682511, 0.0, 0.0, 3.0, 0.0
192.0, 71.0, 11.0, 305.0, 0.232786885245902, 0.0, 0.0, 0.0, 0.0
370.0, 219.0, 28.0, 918.0, 0.238562091503268, 0.0, 0.0, 0.0, 0.0
1400.0, 1003.0, 200.0, 4026.0, 0.249130650769995, 0.0, 0.0, 0.0, 0.0
1181.0, 1072.0, 110.0, 3879.0, 0.276359886568703, 0.0, 0.0, 2.0, 0.0
410.0, 206.0, 29.0, 852.0, 0.241784037558685, 0.0, 0.0, 0.0, 0.0
409.0, 398.0, 3.0, 1506.0, 0.264276228419655, 0.0, 0.0, 0.0, 0.0
582.0, 602.0, 10.0, 2329.0, 0.258480034349506, 0.0, 0.0, 0.0, 0.0
988.0, 836.0, 18.0, 3198.0, 0.261413383364603, 0.0, 0.0, 0.0, 0.0
1512.0, 1418.0, 15.0, 4999.0, 0.283656731346269, 0.0, 0.0, 0.0, 0.0
471.0, 317.0, 8.0, 1155.0, 0.274458874458874, 0.0, 0.0, 0.0, 0.0
652.0, 408.0, 33.0, 1634.0, 0.24969400244798, 0.0, 0.0, 0.0, 0.0
299.0, 313.0, 1.0, 1157.0, 0.270527225583405, 0.0, 0.0, 0.0, 0.0
580.0, 348.0, 19.0, 1584.0, 0.21969696969697, 0.0, 0.0, 0.0, 0.0
2670.0, 2605.0, 28.0, 10078.0, 0.258483826155983, 0.0, 0.0, 7.0, 1.0
194.0, 60.0, 6.0, 298.0, 0.201342281879195, 0.0, 0.0, 0.0, 0.0
428.0, 259.0, 18.0, 1101.0, 0.235240690281562, 0.0, 0.0, 0.0, 0.0
347.0, 287.0, 0.0, 1180.0, 0.243220338983051, 0.0, 0.0, 0.0, 0.0
1356.0, 1336.0, 31.0, 4848.0, 0.275577557755776, 0.0, 0.0, 0.0, 0.0
1076.0, 831.0, 102.0, 3367.0, 0.246807246807247, 0.0, 0.0, 0.0, 0.0
836.0, 748.0, 12.0, 2822.0, 0.265060240963855, 0.0, 0.0, 0.0, 0.0
412.0, 358.0, 14.0, 1241.0, 0.288477034649476, 0.0, 0.0, 0.0, 0.0
1406.0, 1217.0, 132.0, 4481.0, 0.2715911626869, 0.0, 0.0, 2.0, 0.0
943.0, 905.0, 18.0, 3573.0, 0.253288553036664, 0.0, 0.0, 0.0, 0.0
2209.0, 2342.0, 252.0, 7874.0, 0.29743459486919, 3.0, 0.0, 5.0, 0.0
554.0, 367.0, 39.0, 1544.0, 0.237694300518135, 0.0, 0.0, 0.0, 0.0
439.0, 355.0, 10.0, 1313.0, 0.27037319116527, 0.0, 0.0, 0.0, 0.0
314.0, 133.0, 20.0, 603.0, 0.220563847429519, 0.0, 0.0, 0.0, 0.0
621.0, 758.0, 18.0, 2433.0, 0.311549527332511, 0.0, 0.0, 0.0, 0.0
848.0, 984.0, 23.0, 3271.0, 0.300825435646591, 0.0, 0.0, 2.0, 0.0
572.0, 468.0, 4.0, 1876.0, 0.249466950959488, 0.0, 0.0, 0.0, 0.0
482.0, 427.0, 2.0, 1871.0, 0.228220203099947, 0.0, 0.0, 0.0, 0.0
390.0, 249.0, 3.0, 1041.0, 0.239193083573487, 0.0, 0.0, 0.0, 0.0
769.0, 623.0, 8.0, 2244.0, 0.277629233511586, 0.0, 0.0, 0.0, 0.0
1290.0, 1146.0, 12.0, 4548.0, 0.25197889182058, 0.0, 0.0, 0.0, 0.0
304.0, 128.0, 11.0, 574.0, 0.222996515679443, 0.0, 0.0, 0.0, 0.0
1495.0, 1207.0, 25.0, 4686.0, 0.257575757575758, 0.0, 1.0, 0.0, 0.0
402.0, 297.0, 8.0, 1258.0, 0.236089030206677, 0.0, 0.0, 0.0, 0.0
1283.0, 1466.0, 164.0, 4625.0, 0.316972972972973, 0.0, 0.0, 4.0, 1.0
1219.0, 763.0, 96.0, 3045.0, 0.250574712643678, 0.0, 0.0, 0.0, 0.0
2247.0, 2191.0, 15.0, 8418.0, 0.260275599904966, 0.0, 0.0, 4.0, 0.0
1036.0, 739.0, 70.0, 3090.0, 0.23915857605178, 0.0, 0.0, 0.0, 0.0
568.0, 444.0, 10.0, 1977.0, 0.224582701062215, 0.0, 0.0, 0.0, 0.0
1234.0, 1093.0, 237.0, 4131.0, 0.264584846284193, 0.0, 0.0, 0.0, 0.0
189.0, 110.0, 2.0, 433.0, 0.254041570438799, 0.0, 0.0, 0.0, 0.0
559.0, 446.0, 20.0, 1729.0, 0.257952573742047, 0.0, 0.0, 0.0, 0.0
1418.0, 1253.0, 208.0, 4802.0, 0.260932944606414, 0.0, 0.0, 0.0, 0.0
557.0, 337.0, 10.0, 1203.0, 0.280133000831255, 0.0, 0.0, 0.0, 0.0
373.0, 276.0, 3.0, 1359.0, 0.203090507726269, 0.0, 0.0, 0.0, 0.0
1314.0, 1250.0, 44.0, 4400.0, 0.284090909090909, 0.0, 0.0, 0.0, 0.0
632.0, 362.0, 36.0, 1493.0, 0.242464835900871, 0.0, 0.0, 0.0, 0.0
166.0, 173.0, 5.0, 630.0, 0.274603174603175, 0.0, 0.0, 0.0, 0.0
1206.0, 954.0, 167.0, 3907.0, 0.244177117993345, 0.0, 0.0, 0.0, 0.0
1212.0, 1155.0, 150.0, 4218.0, 0.273826458036984, 0.0, 0.0, 1.0, 0.0
1329.0, 998.0, 59.0, 4069.0, 0.245269107888916, 0.0, 0.0, 1.0, 0.0
457.0, 419.0, 48.0, 1553.0, 0.269800386349002, 0.0, 0.0, 0.0, 0.0
1782.0, 1369.0, 188.0, 5539.0, 0.247156526448817, 0.0, 0.0, 1.0, 0.0
176.0, 63.0, 1.0, 265.0, 0.237735849056604, 0.0, 0.0, 0.0, 0.0
345.0, 333.0, 4.0, 1163.0, 0.286328460877042, 0.0, 0.0, 0.0, 0.0
370.0, 339.0, 3.0, 1280.0, 0.26484375, 0.0, 0.0, 0.0, 0.0
720.0, 515.0, 81.0, 2114.0, 0.243614001892148, 0.0, 0.0, 0.0, 0.0
822.0, 749.0, 36.0, 2460.0, 0.304471544715447, 0.0, 0.0, 0.0, 0.0
254.0, 195.0, 0.0, 841.0, 0.231866825208086, 0.0, 0.0, 0.0, 0.0
699.0, 364.0, 67.0, 1555.0, 0.234083601286174, 0.0, 0.0, 0.0, 0.0
890.0, 824.0, 69.0, 3068.0, 0.26857887874837, 0.0, 0.0, 0.0, 0.0
968.0, 902.0, 15.0, 3356.0, 0.268772348033373, 0.0, 0.0, 0.0, 0.0
1820.0, 1934.0, 116.0, 6212.0, 0.311332904056665, 0.0, 0.0, 0.0, 0.0
905.0, 518.0, 62.0, 1964.0, 0.263747454175153, 0.0, 0.0, 0.0, 0.0
304.0, 176.0, 5.0, 737.0, 0.238805970149254, 0.0, 0.0, 0.0, 0.0
658.0, 415.0, 31.0, 1667.0, 0.248950209958008, 0.0, 0.0, 0.0, 0.0
346.0, 196.0, 4.0, 851.0, 0.230317273795535, 0.0, 0.0, 0.0, 0.0
1799.0, 1344.0, 87.0, 5215.0, 0.257718120805369, 0.0, 0.0, 0.0, 0.0
663.0, 441.0, 6.0, 1813.0, 0.243243243243243, 0.0, 0.0, 0.0, 0.0
998.0, 779.0, 34.0, 3125.0, 0.24928, 0.0, 0.0, 0.0, 0.0
1162.0, 1190.0, 28.0, 4271.0, 0.278623273238118, 0.0, 0.0, 0.0, 0.0
543.0, 592.0, 34.0, 1959.0, 0.302194997447677, 0.0, 0.0, 0.0, 0.0
1941.0, 1934.0, 208.0, 7344.0, 0.263344226579521, 0.0, 0.0, 7.0, 0.0
1114.0, 1122.0, 9.0, 4341.0, 0.258465791292329, 0.0, 0.0, 0.0, 0.0
168.0, 188.0, 1.0, 741.0, 0.253711201079622, 0.0, 0.0, 0.0, 0.0
1472.0, 1451.0, 369.0, 5205.0, 0.278770413064361, 1.0, 0.0, 9.0, 1.0
1853.0, 1418.0, 118.0, 5436.0, 0.260853568800589, 0.0, 0.0, 0.0, 0.0
327.0, 165.0, 22.0, 684.0, 0.241228070175439, 0.0, 0.0, 0.0, 0.0
232.0, 183.0, 3.0, 851.0, 0.215041128084606, 0.0, 0.0, 0.0, 0.0
1151.0, 1139.0, 48.0, 3930.0, 0.289821882951654, 1.0, 0.0, 3.0, 0.0
2287.0, 2735.0, 248.0, 8656.0, 0.315965804066543, 0.0, 0.0, 4.0, 1.0
373.0, 196.0, 22.0, 979.0, 0.200204290091931, 0.0, 0.0, 0.0, 0.0
917.0, 1099.0, 119.0, 3582.0, 0.306811836962591, 0.0, 0.0, 0.0, 0.0
354.0, 221.0, 22.0, 914.0, 0.241794310722101, 0.0, 0.0, 0.0, 0.0
1049.0, 1282.0, 51.0, 3854.0, 0.332641411520498, 0.0, 0.0, 3.0, 0.0
2367.0, 2663.0, 35.0, 9232.0, 0.288453206239168, 2.0, 0.0, 7.0, 1.0
